P V ANVAR,35-NILAMBUR,77858
ARYADAN SHOUKATH,35-NILAMBUR,66354
GIRISH MEKKATT,35-NILAMBUR,12284
K BABU MANI,35-NILAMBUR,4751
A.P. ANIL KUMAR,36-WANDOOR,81964
K NISHANTH,36-WANDOOR,58100
SUNITHA MOHANDAS,36-WANDOOR,9471
KRISHNAN KUNIYIL,36-WANDOOR,3399
KRISHNAN ERANHIKKAL,36-WANDOOR,1178
VELAYUDHAN VENNIYUR,36-WANDOOR,920
M. UMMER,37-MANJERI,69779
K. MOHANDAS,37-MANJERI,50163
C. DINESH,37-MANJERI,11223
K.A. SAVAD,37-MANJERI,2503
C.H. ASHRAF,37-MANJERI,2357
MOYIN BAPPU,37-MANJERI,1121
V.M. MUSTHAFA,37-MANJERI,887
MANJALAMKUZHI ALI,38-PERINTHALMANNA,70990
V. SASIKUMAR,38-PERINTHALMANNA,70411
M.K. SUNIL,38-PERINTHALMANNA,5917
SALEEM MAMPAD,38-PERINTHALMANNA,1757
SUNIYA SIRAJ,38-PERINTHALMANNA,698
PALATHINGAL ABOOBACKER,38-PERINTHALMANNA,671
SAYYID MUSTHAFA POOKOYA THANGAL,38-PERINTHALMANNA,335
ANWAR SHAKEEL OMAR,38-PERINTHALMANNA,125
T.A. AHAMMED KABEER,39-MANKADA,69165
T.K. RASHEED ALI,39-MANKADA,67657
B. RATHEESH,39-MANKADA,6641
HAMEED VANIYAMBALAM,39-MANKADA,3999
A.A. RAHEEM,39-MANKADA,1456
O.T. SHIHAB,39-MANKADA,273
AHAMED KABEER MUTTENGADAN,39-MANKADA,218
M.K. AHAMMEDUL KABEER,39-MANKADA,119
ANWAR SHAKEEL OMAR,39-MANKADA,92
P. UBAIDULLA,40-MALAPPURAM,81072
K P SUMATHI,40-MALAPPURAM,45400
BADUSHA THANGAL K.N,40-MALAPPURAM,7211
E.C. AYISHA,40-MALAPPURAM,3330
JALEEL NEELAMBRA,40-MALAPPURAM,2444
ASHRAF PULPATTA,40-MALAPPURAM,1550
P.K. KUNHALIKUTTY,41-VENGARA,72181
P.P. BASHEER,41-VENGARA,34124
P.T. ALI HAJI,41-VENGARA,7055
KALLAN ABOOBACKER MASTER,41-VENGARA,3049
SURENDRAN KARIPPUZHA,41-VENGARA,1864
SUBAIR SWABAHI,41-VENGARA,1472
ABDUL HAMEED MASTER,42-VALLIKKUNNU,59720
O.K. THANGAL,42-VALLIKKUNNU,47110
JANACHANDRAN MASTER,42-VALLIKKUNNU,22887
NISSAR METHAR,42-VALLIKKUNNU,2975
HANEEFA HAJI,42-VALLIKKUNNU,2499
PRAVEEN KUMAR,42-VALLIKKUNNU,705
ANSAS KODAKKATTAKATH,42-VALLIKKUNNU,262
BALAKRISHNAN MANEERI,42-VALLIKKUNNU,192
ABOOBACKER ALIAS K K ABOO,42-VALLIKKUNNU,176
ABDUL NAZER,42-VALLIKKUNNU,106
V.P. PADMAKUMAR,42-VALLIKKUNNU,100
P.K. ABDU RABB,43-TIRURANGADI,62927
NIYAS PULIKKALAKATH,43-TIRURANGADI,56884
P.V. GEETHA MADHAVAN,43-TIRURANGADI,8046
K.C. NASEER,43-TIRURANGADI,2478
MALIYATT ABDURAZAK HAJI,43-TIRURANGADI,1902
MINU MUMTHAZ,43-TIRURANGADI,1270
NIYAS PAROLI,43-TIRURANGADI,541
HANEEFA,43-TIRURANGADI,294
NIYAS THAZHATHETHIL,43-TIRURANGADI,181
YOONUS SALEEM POOZHITHARA,43-TIRURANGADI,93
V ABDURAHIMAN,44-TANUR,64472
ABDURAHIMAN RANDATHANI,44-TANUR,59554
P.R. RASMILNATH,44-TANUR,11051
ASHRAF VAILATHUR,44-TANUR,1291
K.K. MAJEED KHASIMI,44-TANUR,1151
ANWAR PANNIKKANDATHIL,44-TANUR,858
P.T .UNNI,44-TANUR,708
V ABDURAHIMAN VAYANGATIL,44-TANUR,672
V. ABDURAHIMAN VARIKKOTTIL,44-TANUR,172
N. RAMAKRISHNAN MASTER,44-TANUR,139
THAMI,44-TANUR,81
V. ABDURAHIMAN VAYARAKATH,44-TANUR,66
ABDURAHIMAN PUTHANMALIYEKKAL,44-TANUR,54
C. MAMMUTTY,45-TIRUR,73432
GAFOOR P LILLIS,45-TIRUR,66371
M.K. DEVIDASAN,45-TIRUR,9083
GANESH VADERI,45-TIRUR,2001
IBRAHIM TIRUR,45-TIRUR,1828
SHAMEER PAYYANANGADI,45-TIRUR,1276
E.K. GAFOOR,45-TIRUR,791
MAMMUTTY MUYYARIKANDI,45-TIRUR,485
SAHADEVAN,45-TIRUR,402
MAMMUTTY KOOLIPARAMBAN,45-TIRUR,201
MAMMUTTY MANDAMKANDI,45-TIRUR,132
